split,label,president_dir,filename,source_path,output_path,char_count
train,democrat,Joseph_R_Biden_Jr,"October 11, 2021__executive-order-14049white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for-native-americans-and-str.txt","Joseph_R_Biden_Jr/October 11, 2021__executive-order-14049white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for-native-americans-and-str.txt","train/democrat/Joseph_R_Biden_Jr/October 11, 2021__executive-order-14049white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for-native-americans-and-str.txt",21162
train,democrat,Barack_Obama,"June 14, 2014__executive-order-13670establishing-an-emergency-board-to-investigate-disputes-between-the-southeastern-pennsylvania-transportation-authority-.txt","Barack_Obama/June 14, 2014__executive-order-13670establishing-an-emergency-board-to-investigate-disputes-between-the-southeastern-pennsylvania-transportation-authority-.txt","train/democrat/Barack_Obama/June 14, 2014__executive-order-13670establishing-an-emergency-board-to-investigate-disputes-between-the-southeastern-pennsylvania-transportation-authority-.txt",1187
train,democrat,Joseph_R_Biden_Jr,"January 19, 2025__executive-order-14145helping-left-behind-communities-make-a-comeback.txt","Joseph_R_Biden_Jr/January 19, 2025__executive-order-14145helping-left-behind-communities-make-a-comeback.txt","train/democrat/Joseph_R_Biden_Jr/January 19, 2025__executive-order-14145helping-left-behind-communities-make-a-comeback.txt",7434
train,democrat,Barack_Obama,"May 12, 2014__executive-order-13667blocking-property-of-certain-persons-contributing-to-the-conflict-in-the-central-african-republic.txt","Barack_Obama/May 12, 2014__executive-order-13667blocking-property-of-certain-persons-contributing-to-the-conflict-in-the-central-african-republic.txt","train/democrat/Barack_Obama/May 12, 2014__executive-order-13667blocking-property-of-certain-persons-contributing-to-the-conflict-in-the-central-african-republic.txt",8313
train,democrat,Barack_Obama,"February 20, 2009__executive-order-13504amending-executive-order-13390.txt","Barack_Obama/February 20, 2009__executive-order-13504amending-executive-order-13390.txt","train/democrat/Barack_Obama/February 20, 2009__executive-order-13504amending-executive-order-13390.txt",641
train,democrat,Barack_Obama,"February 09, 2016__executive-order-13718commission-on-enhancing-national-cybersecurity.txt","Barack_Obama/February 09, 2016__executive-order-13718commission-on-enhancing-national-cybersecurity.txt","train/democrat/Barack_Obama/February 09, 2016__executive-order-13718commission-on-enhancing-national-cybersecurity.txt",10339
train,democrat,Joseph_R_Biden_Jr,"March 09, 2022__executive-order-14067ensuring-responsible-development-of-digital-assets.txt","Joseph_R_Biden_Jr/March 09, 2022__executive-order-14067ensuring-responsible-development-of-digital-assets.txt","train/democrat/Joseph_R_Biden_Jr/March 09, 2022__executive-order-14067ensuring-responsible-development-of-digital-assets.txt",37922
train,democrat,Joseph_R_Biden_Jr,"January 27, 2021__executive-order-14007presidents-council-of-advisors-on-science-and-technology.txt","Joseph_R_Biden_Jr/January 27, 2021__executive-order-14007presidents-council-of-advisors-on-science-and-technology.txt","train/democrat/Joseph_R_Biden_Jr/January 27, 2021__executive-order-14007presidents-council-of-advisors-on-science-and-technology.txt",5947
train,democrat,Barack_Obama,"April 14, 2010__executive-order-13537interagency-group-on-insular-affairs.txt","Barack_Obama/April 14, 2010__executive-order-13537interagency-group-on-insular-affairs.txt","train/democrat/Barack_Obama/April 14, 2010__executive-order-13537interagency-group-on-insular-affairs.txt",3883
train,democrat,William_J_Clinton,"July 15, 1997__executive-order-13055coordination-of-united-states-government-international-exchanges-and-training-programs.txt","William_J_Clinton/July 15, 1997__executive-order-13055coordination-of-united-states-government-international-exchanges-and-training-programs.txt","train/democrat/William_J_Clinton/July 15, 1997__executive-order-13055coordination-of-united-states-government-international-exchanges-and-training-programs.txt",4187
train,democrat,William_J_Clinton,"October 12, 1996__executive-order-13020amendment-to-executive-order-12981.txt","William_J_Clinton/October 12, 1996__executive-order-13020amendment-to-executive-order-12981.txt","train/democrat/William_J_Clinton/October 12, 1996__executive-order-13020amendment-to-executive-order-12981.txt",3536
train,democrat,William_J_Clinton,"June 03, 1999__executive-order-13123greening-the-government-through-efficient-energy-management.txt","William_J_Clinton/June 03, 1999__executive-order-13123greening-the-government-through-efficient-energy-management.txt","train/democrat/William_J_Clinton/June 03, 1999__executive-order-13123greening-the-government-through-efficient-energy-management.txt",36723
train,democrat,Barack_Obama,"December 24, 2015__executive-order-13713half-day-closing-of-executive-departments-and-agencies-of-the-federal-government-on-thursday-december-24-2015.txt","Barack_Obama/December 24, 2015__executive-order-13713half-day-closing-of-executive-departments-and-agencies-of-the-federal-government-on-thursday-december-24-2015.txt","train/democrat/Barack_Obama/December 24, 2015__executive-order-13713half-day-closing-of-executive-departments-and-agencies-of-the-federal-government-on-thursday-december-24-2015.txt",1777
train,democrat,Barack_Obama,"March 16, 2012__executive-order-13603national-defense-resources-preparedness.txt","Barack_Obama/March 16, 2012__executive-order-13603national-defense-resources-preparedness.txt","train/democrat/Barack_Obama/March 16, 2012__executive-order-13603national-defense-resources-preparedness.txt",34492
train,democrat,Barack_Obama,"October 13, 2016__executive-order-13744coordinating-efforts-to-prepare-the-nation-for-space-weather-events.txt","Barack_Obama/October 13, 2016__executive-order-13744coordinating-efforts-to-prepare-the-nation-for-space-weather-events.txt","train/democrat/Barack_Obama/October 13, 2016__executive-order-13744coordinating-efforts-to-prepare-the-nation-for-space-weather-events.txt",14751
train,democrat,Barack_Obama,"January 30, 2015__executive-order-13690establishing-a-federal-flood-risk-management-standard-and-a-process-for-further-soliciting-and-considering-stakeholder-.txt","Barack_Obama/January 30, 2015__executive-order-13690establishing-a-federal-flood-risk-management-standard-and-a-process-for-further-soliciting-and-considering-stakeholder-.txt","train/democrat/Barack_Obama/January 30, 2015__executive-order-13690establishing-a-federal-flood-risk-management-standard-and-a-process-for-further-soliciting-and-considering-stakeholder-.txt",11076
train,democrat,Joseph_R_Biden_Jr,"February 01, 2024__executive-order-14115imposing-certain-sanctions-on-persons-undermining-peace-security-and-stability-in-the-west-bank.txt","Joseph_R_Biden_Jr/February 01, 2024__executive-order-14115imposing-certain-sanctions-on-persons-undermining-peace-security-and-stability-in-the-west-bank.txt","train/democrat/Joseph_R_Biden_Jr/February 01, 2024__executive-order-14115imposing-certain-sanctions-on-persons-undermining-peace-security-and-stability-in-the-west-bank.txt",8917
train,democrat,William_J_Clinton,"February 15, 1994__executive-order-12899establishing-an-emergency-board-to-investigate-a-dispute-between-the-long-island-rail-road-and-certain-of-its-employees.txt","William_J_Clinton/February 15, 1994__executive-order-12899establishing-an-emergency-board-to-investigate-a-dispute-between-the-long-island-rail-road-and-certain-of-its-employees.txt","train/democrat/William_J_Clinton/February 15, 1994__executive-order-12899establishing-an-emergency-board-to-investigate-a-dispute-between-the-long-island-rail-road-and-certain-of-its-employees.txt",1115
train,democrat,William_J_Clinton,"April 07, 1998__executive-order-13080american-heritage-rivers-initiative-advisory-committee.txt","William_J_Clinton/April 07, 1998__executive-order-13080american-heritage-rivers-initiative-advisory-committee.txt","train/democrat/William_J_Clinton/April 07, 1998__executive-order-13080american-heritage-rivers-initiative-advisory-committee.txt",4640
train,democrat,Barack_Obama,"March 06, 2014__executive-order-13660blocking-property-of-certain-persons-contributing-to-the-situation-in-ukraine.txt","Barack_Obama/March 06, 2014__executive-order-13660blocking-property-of-certain-persons-contributing-to-the-situation-in-ukraine.txt","train/democrat/Barack_Obama/March 06, 2014__executive-order-13660blocking-property-of-certain-persons-contributing-to-the-situation-in-ukraine.txt",6315
train,democrat,Barack_Obama,"December 30, 2009__executive-order-13527establishing-federal-capability-for-the-timely-provision-of-medical-countermeasures-following-a-biological-attack.txt","Barack_Obama/December 30, 2009__executive-order-13527establishing-federal-capability-for-the-timely-provision-of-medical-countermeasures-following-a-biological-attack.txt","train/democrat/Barack_Obama/December 30, 2009__executive-order-13527establishing-federal-capability-for-the-timely-provision-of-medical-countermeasures-following-a-biological-attack.txt",4052
train,democrat,Barack_Obama,"November 22, 2015__executive-order-13712blocking-property-of-certain-persons-contributing-to-the-situation-in-burundi.txt","Barack_Obama/November 22, 2015__executive-order-13712blocking-property-of-certain-persons-contributing-to-the-situation-in-burundi.txt","train/democrat/Barack_Obama/November 22, 2015__executive-order-13712blocking-property-of-certain-persons-contributing-to-the-situation-in-burundi.txt",7388
train,democrat,William_J_Clinton,"September 30, 1993__executive-order-12868measures-to-restrict-the-participation-by-united-states-persons-in-weapons-proliferation-activities.txt","William_J_Clinton/September 30, 1993__executive-order-12868measures-to-restrict-the-participation-by-united-states-persons-in-weapons-proliferation-activities.txt","train/democrat/William_J_Clinton/September 30, 1993__executive-order-12868measures-to-restrict-the-participation-by-united-states-persons-in-weapons-proliferation-activities.txt",1024
train,democrat,Joseph_R_Biden_Jr,"February 02, 2021__executive-order-14012restoring-faith-in-our-legal-immigration-systems-and-strengthening-integration-and-inclusion-efforts-for-new-americans.txt","Joseph_R_Biden_Jr/February 02, 2021__executive-order-14012restoring-faith-in-our-legal-immigration-systems-and-strengthening-integration-and-inclusion-efforts-for-new-americans.txt","train/democrat/Joseph_R_Biden_Jr/February 02, 2021__executive-order-14012restoring-faith-in-our-legal-immigration-systems-and-strengthening-integration-and-inclusion-efforts-for-new-americans.txt",10350
train,democrat,William_J_Clinton,"July 31, 1995__executive-order-12967establishing-an-emergency-board-to-investigate-disputes-between-metro-north-commuter-railroad-and-its-employees-represe.txt","William_J_Clinton/July 31, 1995__executive-order-12967establishing-an-emergency-board-to-investigate-disputes-between-metro-north-commuter-railroad-and-its-employees-represe.txt","train/democrat/William_J_Clinton/July 31, 1995__executive-order-12967establishing-an-emergency-board-to-investigate-disputes-between-metro-north-commuter-railroad-and-its-employees-represe.txt",1332
train,democrat,William_J_Clinton,"November 03, 1997__executive-order-13067blocking-sudanese-government-property-and-prohibiting-transactions-with-sudan.txt","William_J_Clinton/November 03, 1997__executive-order-13067blocking-sudanese-government-property-and-prohibiting-transactions-with-sudan.txt","train/democrat/William_J_Clinton/November 03, 1997__executive-order-13067blocking-sudanese-government-property-and-prohibiting-transactions-with-sudan.txt",4675
train,democrat,William_J_Clinton,"March 08, 1995__executive-order-12954ensuring-the-economical-and-efficient-administration-and-completion-of-federal-government-contracts.txt","William_J_Clinton/March 08, 1995__executive-order-12954ensuring-the-economical-and-efficient-administration-and-completion-of-federal-government-contracts.txt","train/democrat/William_J_Clinton/March 08, 1995__executive-order-12954ensuring-the-economical-and-efficient-administration-and-completion-of-federal-government-contracts.txt",5817
train,democrat,William_J_Clinton,"September 15, 1993__executive-order-12864united-states-advisory-council-on-the-national-information-infrastructure.txt","William_J_Clinton/September 15, 1993__executive-order-12864united-states-advisory-council-on-the-national-information-infrastructure.txt","train/democrat/William_J_Clinton/September 15, 1993__executive-order-12864united-states-advisory-council-on-the-national-information-infrastructure.txt",3707
train,democrat,Barack_Obama,"October 17, 2014__executive-order-13681improving-the-security-of-consumer-financial-transactions.txt","Barack_Obama/October 17, 2014__executive-order-13681improving-the-security-of-consumer-financial-transactions.txt","train/democrat/Barack_Obama/October 17, 2014__executive-order-13681improving-the-security-of-consumer-financial-transactions.txt",5399
train,democrat,Barack_Obama,"December 08, 2016__executive-order-13752relating-to-the-implementation-of-the-convention-on-the-international-recovery-of-child-support-and-other-forms-of-fami.txt","Barack_Obama/December 08, 2016__executive-order-13752relating-to-the-implementation-of-the-convention-on-the-international-recovery-of-child-support-and-other-forms-of-fami.txt","train/democrat/Barack_Obama/December 08, 2016__executive-order-13752relating-to-the-implementation-of-the-convention-on-the-international-recovery-of-child-support-and-other-forms-of-fami.txt",1654
train,democrat,William_J_Clinton,"October 29, 1997__executive-order-13066amendment-to-executive-order-13037-commission-to-study-capital-budgeting.txt","William_J_Clinton/October 29, 1997__executive-order-13066amendment-to-executive-order-13037-commission-to-study-capital-budgeting.txt","train/democrat/William_J_Clinton/October 29, 1997__executive-order-13066amendment-to-executive-order-13037-commission-to-study-capital-budgeting.txt",611
train,democrat,William_J_Clinton,"December 12, 1996__executive-order-13030administration-of-foreign-assistance-and-related-functions-and-arms-export-controls.txt","William_J_Clinton/December 12, 1996__executive-order-13030administration-of-foreign-assistance-and-related-functions-and-arms-export-controls.txt","train/democrat/William_J_Clinton/December 12, 1996__executive-order-13030administration-of-foreign-assistance-and-related-functions-and-arms-export-controls.txt",1230
train,democrat,Joseph_R_Biden_Jr,"January 20, 2021__executive-order-13988preventing-and-combating-discrimination-on-the-basis-of-gender-identity-or-sexual-orientation.txt","Joseph_R_Biden_Jr/January 20, 2021__executive-order-13988preventing-and-combating-discrimination-on-the-basis-of-gender-identity-or-sexual-orientation.txt","train/democrat/Joseph_R_Biden_Jr/January 20, 2021__executive-order-13988preventing-and-combating-discrimination-on-the-basis-of-gender-identity-or-sexual-orientation.txt",5416
train,democrat,William_J_Clinton,"April 25, 1994__executive-order-12911seal-for-the-office-of-national-drug-control-policy.txt","William_J_Clinton/April 25, 1994__executive-order-12911seal-for-the-office-of-national-drug-control-policy.txt","train/democrat/William_J_Clinton/April 25, 1994__executive-order-12911seal-for-the-office-of-national-drug-control-policy.txt",999
train,democrat,Barack_Obama,"May 26, 2015__executive-order-13695termination-of-emergency-with-respect-to-the-risk-of-nuclear-proliferation-created-by-the-accumulation-of-a-large-volum.txt","Barack_Obama/May 26, 2015__executive-order-13695termination-of-emergency-with-respect-to-the-risk-of-nuclear-proliferation-created-by-the-accumulation-of-a-large-volum.txt","train/democrat/Barack_Obama/May 26, 2015__executive-order-13695termination-of-emergency-with-respect-to-the-risk-of-nuclear-proliferation-created-by-the-accumulation-of-a-large-volum.txt",706
train,democrat,Joseph_R_Biden_Jr,"December 20, 2024__executive-order-141302024-amendments-to-the-manual-for-courts-martial-united-states.txt","Joseph_R_Biden_Jr/December 20, 2024__executive-order-141302024-amendments-to-the-manual-for-courts-martial-united-states.txt","train/democrat/Joseph_R_Biden_Jr/December 20, 2024__executive-order-141302024-amendments-to-the-manual-for-courts-martial-united-states.txt",2995
train,democrat,Joseph_R_Biden_Jr,"March 27, 2023__executive-order-14093prohibition-on-use-by-the-united-states-government-of-commercial-spyware-that-poses-risks-to-national-security.txt","Joseph_R_Biden_Jr/March 27, 2023__executive-order-14093prohibition-on-use-by-the-united-states-government-of-commercial-spyware-that-poses-risks-to-national-security.txt","train/democrat/Joseph_R_Biden_Jr/March 27, 2023__executive-order-14093prohibition-on-use-by-the-united-states-government-of-commercial-spyware-that-poses-risks-to-national-security.txt",24233
train,democrat,Barack_Obama,"August 10, 2012__executive-order-13623preventing-and-responding-to-violence-against-women-and-girls-globally.txt","Barack_Obama/August 10, 2012__executive-order-13623preventing-and-responding-to-violence-against-women-and-girls-globally.txt","train/democrat/Barack_Obama/August 10, 2012__executive-order-13623preventing-and-responding-to-violence-against-women-and-girls-globally.txt",9315
train,democrat,William_J_Clinton,"August 06, 1996__executive-order-13013amending-executive-order-no-10163-the-armed-forces-reserve-medal.txt","William_J_Clinton/August 06, 1996__executive-order-13013amending-executive-order-no-10163-the-armed-forces-reserve-medal.txt","train/democrat/William_J_Clinton/August 06, 1996__executive-order-13013amending-executive-order-no-10163-the-armed-forces-reserve-medal.txt",2576
train,democrat,Joseph_R_Biden_Jr,"May 25, 2022__executive-order-14074advancing-effective-accountable-policing-and-criminal-justice-practices-to-enhance-public-trust-and-public-safety.txt","Joseph_R_Biden_Jr/May 25, 2022__executive-order-14074advancing-effective-accountable-policing-and-criminal-justice-practices-to-enhance-public-trust-and-public-safety.txt","train/democrat/Joseph_R_Biden_Jr/May 25, 2022__executive-order-14074advancing-effective-accountable-policing-and-criminal-justice-practices-to-enhance-public-trust-and-public-safety.txt",69053
train,democrat,William_J_Clinton,"October 19, 1998__executive-order-13104amendment-to-executive-order-13021-tribal-colleges-and-universities.txt","William_J_Clinton/October 19, 1998__executive-order-13104amendment-to-executive-order-13021-tribal-colleges-and-universities.txt","train/democrat/William_J_Clinton/October 19, 1998__executive-order-13104amendment-to-executive-order-13021-tribal-colleges-and-universities.txt",663
train,democrat,William_J_Clinton,"December 05, 1995__executive-order-12981administration-of-export-controls.txt","William_J_Clinton/December 05, 1995__executive-order-12981administration-of-export-controls.txt","train/democrat/William_J_Clinton/December 05, 1995__executive-order-12981administration-of-export-controls.txt",14906
train,democrat,Joseph_R_Biden_Jr,"March 04, 2024__executive-order-14118termination-of-emergency-with-respect-to-the-situation-in-zimbabwe.txt","Joseph_R_Biden_Jr/March 04, 2024__executive-order-14118termination-of-emergency-with-respect-to-the-situation-in-zimbabwe.txt","train/democrat/Joseph_R_Biden_Jr/March 04, 2024__executive-order-14118termination-of-emergency-with-respect-to-the-situation-in-zimbabwe.txt",1280
train,democrat,Barack_Obama,"January 30, 2009__executive-order-13496notification-of-employee-rights-under-federal-labor-laws.txt","Barack_Obama/January 30, 2009__executive-order-13496notification-of-employee-rights-under-federal-labor-laws.txt","train/democrat/Barack_Obama/January 30, 2009__executive-order-13496notification-of-employee-rights-under-federal-labor-laws.txt",13402
train,democrat,Barack_Obama,"July 11, 2011__executive-order-13579regulation-and-independent-regulatory-agencies.txt","Barack_Obama/July 11, 2011__executive-order-13579regulation-and-independent-regulatory-agencies.txt","train/democrat/Barack_Obama/July 11, 2011__executive-order-13579regulation-and-independent-regulatory-agencies.txt",3163
train,democrat,Barack_Obama,"February 06, 2009__executive-order-13502use-of-project-labor-agreements-for-federal-construction-projects.txt","Barack_Obama/February 06, 2009__executive-order-13502use-of-project-labor-agreements-for-federal-construction-projects.txt","train/democrat/Barack_Obama/February 06, 2009__executive-order-13502use-of-project-labor-agreements-for-federal-construction-projects.txt",7182
train,democrat,Joseph_R_Biden_Jr,"January 21, 2021__executive-order-13998promoting-covid-19-safety-in-domestic-and-international-travel.txt","Joseph_R_Biden_Jr/January 21, 2021__executive-order-13998promoting-covid-19-safety-in-domestic-and-international-travel.txt","train/democrat/Joseph_R_Biden_Jr/January 21, 2021__executive-order-13998promoting-covid-19-safety-in-domestic-and-international-travel.txt",11517
train,democrat,Joseph_R_Biden_Jr,"May 04, 2023__executive-order-14098imposing-sanctions-on-certain-persons-destabilizing-sudan-and-undermining-the-goal-of-a-democratic-transition.txt","Joseph_R_Biden_Jr/May 04, 2023__executive-order-14098imposing-sanctions-on-certain-persons-destabilizing-sudan-and-undermining-the-goal-of-a-democratic-transition.txt","train/democrat/Joseph_R_Biden_Jr/May 04, 2023__executive-order-14098imposing-sanctions-on-certain-persons-destabilizing-sudan-and-undermining-the-goal-of-a-democratic-transition.txt",11251
train,democrat,Joseph_R_Biden_Jr,"January 21, 2021__executive-order-13999protecting-worker-health-and-safety.txt","Joseph_R_Biden_Jr/January 21, 2021__executive-order-13999protecting-worker-health-and-safety.txt","train/democrat/Joseph_R_Biden_Jr/January 21, 2021__executive-order-13999protecting-worker-health-and-safety.txt",4894
train,democrat,William_J_Clinton,"August 18, 1998__executive-order-13098blocking-property-of-unita-and-prohibiting-certain-transactions-with-respect-to-unita.txt","William_J_Clinton/August 18, 1998__executive-order-13098blocking-property-of-unita-and-prohibiting-certain-transactions-with-respect-to-unita.txt","train/democrat/William_J_Clinton/August 18, 1998__executive-order-13098blocking-property-of-unita-and-prohibiting-certain-transactions-with-respect-to-unita.txt",5337
train,democrat,Joseph_R_Biden_Jr,"June 25, 2021__executive-order-14035diversity-equity-inclusion-and-accessibility-in-the-federal-workforce.txt","Joseph_R_Biden_Jr/June 25, 2021__executive-order-14035diversity-equity-inclusion-and-accessibility-in-the-federal-workforce.txt","train/democrat/Joseph_R_Biden_Jr/June 25, 2021__executive-order-14035diversity-equity-inclusion-and-accessibility-in-the-federal-workforce.txt",38228
train,democrat,William_J_Clinton,"March 09, 1993__executive-order-12841adjustments-to-levels-iv-and-v-of-the-executive-schedule.txt","William_J_Clinton/March 09, 1993__executive-order-12841adjustments-to-levels-iv-and-v-of-the-executive-schedule.txt","train/democrat/William_J_Clinton/March 09, 1993__executive-order-12841adjustments-to-levels-iv-and-v-of-the-executive-schedule.txt",812
train,democrat,William_J_Clinton,"December 23, 1993__executive-order-12887amending-executive-order-no-12878.txt","William_J_Clinton/December 23, 1993__executive-order-12887amending-executive-order-no-12878.txt","train/democrat/William_J_Clinton/December 23, 1993__executive-order-12887amending-executive-order-no-12878.txt",257
train,democrat,William_J_Clinton,"July 06, 2000__executive-order-13162federal-career-intern-program.txt","William_J_Clinton/July 06, 2000__executive-order-13162federal-career-intern-program.txt","train/democrat/William_J_Clinton/July 06, 2000__executive-order-13162federal-career-intern-program.txt",3801
train,democrat,William_J_Clinton,"November 02, 1998__executive-order-13105open-enrollment-season-for-participants-in-the-foreign-service-retirement-and-disability-system-and-the-central-intelli.txt","William_J_Clinton/November 02, 1998__executive-order-13105open-enrollment-season-for-participants-in-the-foreign-service-retirement-and-disability-system-and-the-central-intelli.txt","train/democrat/William_J_Clinton/November 02, 1998__executive-order-13105open-enrollment-season-for-participants-in-the-foreign-service-retirement-and-disability-system-and-the-central-intelli.txt",940
train,democrat,Barack_Obama,"May 21, 2013__executive-order-13644amendment-to-executive-order-13639.txt","Barack_Obama/May 21, 2013__executive-order-13644amendment-to-executive-order-13639.txt","train/democrat/Barack_Obama/May 21, 2013__executive-order-13644amendment-to-executive-order-13639.txt",1423
train,democrat,William_J_Clinton,"November 27, 2000__executive-order-13176facilitation-of-a-presidential-transition.txt","William_J_Clinton/November 27, 2000__executive-order-13176facilitation-of-a-presidential-transition.txt","train/democrat/William_J_Clinton/November 27, 2000__executive-order-13176facilitation-of-a-presidential-transition.txt",3765
train,democrat,Joseph_R_Biden_Jr,"February 11, 2022__executive-order-14064protecting-certain-property-of-da-afghanistan-bank-for-the-benefit-of-the-people-of-afghanistan.txt","Joseph_R_Biden_Jr/February 11, 2022__executive-order-14064protecting-certain-property-of-da-afghanistan-bank-for-the-benefit-of-the-people-of-afghanistan.txt","train/democrat/Joseph_R_Biden_Jr/February 11, 2022__executive-order-14064protecting-certain-property-of-da-afghanistan-bank-for-the-benefit-of-the-people-of-afghanistan.txt",4470
train,democrat,Barack_Obama,"February 05, 2009__executive-order-13499further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council.txt","Barack_Obama/February 05, 2009__executive-order-13499further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council.txt","train/democrat/Barack_Obama/February 05, 2009__executive-order-13499further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council.txt",499
train,democrat,William_J_Clinton,"December 23, 1993__executive-order-12888amendments-to-the-manual-for-courts-martial-1984.txt","William_J_Clinton/December 23, 1993__executive-order-12888amendments-to-the-manual-for-courts-martial-1984.txt","train/democrat/William_J_Clinton/December 23, 1993__executive-order-12888amendments-to-the-manual-for-courts-martial-1984.txt",54588
train,democrat,Joseph_R_Biden_Jr,"August 14, 2023__executive-order-14106united-states-coast-guard-officer-personnel-management.txt","Joseph_R_Biden_Jr/August 14, 2023__executive-order-14106united-states-coast-guard-officer-personnel-management.txt","train/democrat/Joseph_R_Biden_Jr/August 14, 2023__executive-order-14106united-states-coast-guard-officer-personnel-management.txt",5199
train,democrat,Barack_Obama,"February 19, 2014__executive-order-13659streamlining-the-exportimport-process-for-americas-businesses.txt","Barack_Obama/February 19, 2014__executive-order-13659streamlining-the-exportimport-process-for-americas-businesses.txt","train/democrat/Barack_Obama/February 19, 2014__executive-order-13659streamlining-the-exportimport-process-for-americas-businesses.txt",11049
train,democrat,William_J_Clinton,"January 18, 1996__executive-order-12986international-union-for-conservation-of-nature-and-natural-resources.txt","William_J_Clinton/January 18, 1996__executive-order-12986international-union-for-conservation-of-nature-and-natural-resources.txt","train/democrat/William_J_Clinton/January 18, 1996__executive-order-12986international-union-for-conservation-of-nature-and-natural-resources.txt",1664
train,democrat,William_J_Clinton,"May 14, 1998__executive-order-13084consultation-and-coordination-with-indian-tribal-governments.txt","William_J_Clinton/May 14, 1998__executive-order-13084consultation-and-coordination-with-indian-tribal-governments.txt","train/democrat/William_J_Clinton/May 14, 1998__executive-order-13084consultation-and-coordination-with-indian-tribal-governments.txt",5193
